table,migration_columns,model_files,model_fillable_union,model_casts_union,missing_in_model,extra_in_model,notes
products,brand_id|category_id|cogs_account_id|description|has_variants|has_warranty|inventory_account_id|is_active|name|organization_id|sale_account_id|tax_id|valuation_method|warranty_months,app\Models\Inventory/Product.php,brand_id|category_id|cogs_account_id|description|has_variants|has_warranty|inventory_account_id|is_active|name|organization_id|sale_account_id|tax_id|valuation_method|warranty_months,is_active:boolean;has_warranty:boolean;has_variants:boolean,,,
promotio\1_\2s,,app\Models\Inventory/PromotionScope.php;app\Models\Inventory/PromotionTarget.php,promotion_id|scopeable_id|scopeable_type|targetable_id|targetable_type,,,promotion_id|scopeable_id|scopeable_type|targetable_id|targetable_type,NO_MIGRATION_FOUND
promotion_scopes,promotion_id|scopeable|scopeable_id|scopeable_type,,,,promotion_id|scopeable|scopeable_id|scopeable_type,,NO_MODEL_FOUND
promotion_targets,promotion_id|targetable|targetable_id|targetable_type,,,,promotion_id|targetable|targetable_id|targetable_type,,NO_MODEL_FOUND
promotions,end_date|is_active|min_order_amount|name|organization_id|priority|stackable|start_date|type|usage_limit|used_count|value,app\Models\Inventory/Promotion.php,end_date|is_active|min_order_amount|name|organization_id|priority|stackable|start_date|type|usage_limit|used_count|value,,,,
purchas\1_\2s,,app\Models\Voucher/PurchaseBill.php;app\Models\Voucher/PurchaseOrder.php,approved_at|approved_by|branch_id|created_by|date|document_number|expected_receipt_date|grand_total|order_date|organization_id|reviewed_at|reviewed_by|status|supplier_id|supplier_invoice_number|updated_by|voucher_type_id,date:date;grand_total:decimal:4;order_date:date;expected_receipt_date:date,,approved_at|approved_by|branch_id|created_by|date|document_number|expected_receipt_date|grand_total|order_date|organization_id|reviewed_at|reviewed_by|status|supplier_id|supplier_invoice_number|updated_by|voucher_type_id,NO_MIGRATION_FOUND
purchase_bills,approved_at|approved_by|branch_id|created_by|currency_code|date|document_number|due_amount|exchange_rate|financial_year_id|grand_total|journal_id|organization_id|paid_amount|reviewed_at|reviewed_by|status|supplier_id|supplier_invoice_number|updated_by|voucher_type_id,,,,approved_at|approved_by|branch_id|created_by|currency_code|date|document_number|due_amount|exchange_rate|financial_year_id|grand_total|journal_id|organization_id|paid_amount|reviewed_at|reviewed_by|status|supplier_id|supplier_invoice_number|updated_by|voucher_type_id,,NO_MODEL_FOUND
purchase_orders,approved_at|approved_by|branch_id|created_by|document_number|expected_receipt_date|grand_total|order_date|organization_id|reviewed_at|reviewed_by|status|supplier_id|updated_by|voucher_type_id,,,,approved_at|approved_by|branch_id|created_by|document_number|expected_receipt_date|grand_total|order_date|organization_id|reviewed_at|reviewed_by|status|supplier_id|updated_by|voucher_type_id,,NO_MODEL_FOUND
receip\1_\2s,,app\Models\Account/ReceiptAllocation.php;app\Models\Voucher/ReceiptNote.php,allocation_date|amount_allocated|approved_at|approved_by|created_by|date|document_number|invoice_id|organization_id|purchase_bill_id|purchase_order_id|receipt_id|reviewed_at|reviewed_by|status|updated_by,amount_allocated:decimal:4;allocation_date:date;date:date,,allocation_date|amount_allocated|approved_at|approved_by|created_by|date|document_number|invoice_id|organization_id|purchase_bill_id|purchase_order_id|receipt_id|reviewed_at|reviewed_by|status|updated_by,NO_MIGRATION_FOUND
receipt_allocations,allocation_date|amount_allocated|invoice_id|receipt_id,,,,allocation_date|amount_allocated|invoice_id|receipt_id,,NO_MODEL_FOUND
receipt_notes,approved_at|approved_by|created_by|date|document_number|organization_id|purchase_bill_id|purchase_order_id|reviewed_at|reviewed_by|status|updated_by|voucher_type_id,,,,approved_at|approved_by|created_by|date|document_number|organization_id|purchase_bill_id|purchase_order_id|reviewed_at|reviewed_by|status|updated_by|voucher_type_id,,NO_MODEL_FOUND
receipts,account_id|amount|approved_at|approved_by|created_by|customer_id|date|journal_id|organization_id|reference|reference_id|reference_number|reference_type|reviewed_at|reviewed_by|updated_by,app\Models\Voucher/Receipt.php,account_id|amount|approved_at|approved_by|created_by|customer_id|date|organization_id|reference_id|reference_number|reference_type|reviewed_by|reviwed_at|updated_by,amount:decimal:4;date:date,journal_id|reference|reviewed_at,reviwed_at,
reservation_serials,reservation_id|serial_number_id,,,,reservation_id|serial_number_id,,NO_MODEL_FOUND
sal\1_\2s,,app\Models\Voucher/SaleOrder.php,allocated_at|approved_at|approved_by|branch_id|customer_id|delivery_date|document_number|fulfilled_at|fulfilled_by_id|fulfilled_by_level|grand_total|order_date|organization_id|outlet_id|reviewed_at|reviewed_by|status|voucher_type_id|warehouse_id,order_date:date;delivery_date:date;grand_total:decimal:4;reviewed_at:datetime;approved_at:datetime;allocated_at:datetime;fulfilled_at:datetime,,allocated_at|approved_at|approved_by|branch_id|customer_id|delivery_date|document_number|fulfilled_at|fulfilled_by_id|fulfilled_by_level|grand_total|order_date|organization_id|outlet_id|reviewed_at|reviewed_by|status|voucher_type_id|warehouse_id,NO_MIGRATION_FOUND
sale_orders,approved_at|approved_by|branch_id|created_by|customer_id|delivery_date|document_number|grand_total|order_date|organization_id|outlet_id|reviewed_at|reviewed_by|status|updated_by|voucher_type_id|warehouse_id,,,,approved_at|approved_by|branch_id|created_by|customer_id|delivery_date|document_number|grand_total|order_date|organization_id|outlet_id|reviewed_at|reviewed_by|status|updated_by|voucher_type_id|warehouse_id,,NO_MODEL_FOUND
sectio\1_\2s,,app\Models\Core/SectionCategory.php,description|name|organization_id,,,description|name|organization_id,NO_MIGRATION_FOUND
section_categories,description|name|organization_id,,,,description|name|organization_id,,NO_MODEL_FOUND
seria\1_\2s,,app\Models\Inventory/SerialNumber.php,condition_id|inventory_batch_id|organization_id|product_variant_id|reserved_at|returned_at|serial|sold_at|status|stock_location_id,reserved_at:datetime;sold_at:datetime;returned_at:datetime,,condition_id|inventory_batch_id|organization_id|product_variant_id|reserved_at|returned_at|serial|sold_at|status|stock_location_id,NO_MIGRATION_FOUND
serial_numbers,condition_id|inventory_batch_id|organization_id|product_variant_id|reserved_at|returned_at|serial|sold_at|status|stock_location_id,,,,condition_id|inventory_batch_id|organization_id|product_variant_id|reserved_at|returned_at|serial|sold_at|status|stock_location_id,,NO_MODEL_FOUND
sessions,id|ip_address|last_activity|payload|user_agent|user_id,,,,id|ip_address|last_activity|payload|user_agent|user_id,,NO_MODEL_FOUND
stoc\1_\2s,,app\Models\Inventory/StockLocation.php,code|is_active|locatable_id|locatable_type|name|organization_id,is_active:boolean,,code|is_active|locatable_id|locatable_type|name|organization_id,NO_MIGRATION_FOUND
stock_control_policies,description|key|organization_id|value,app\Models\Governance/StockControlPolicy.php,description|key|organization_id|value,value:array,,,
stock_flow_policies,allowed|description|from_id|from_type|is_locked|organization_id|to_id|to_type,app\Models\Governance/StockFlowPolicy.php,allowed|description|from_id|from_type|is_locked|organization_id|to_id|to_type,allowed:boolean;is_locked:boolean,,,
stock_locations,code|is_active|locatable|locatable_id|locatable_type|name|organization_id|parent_id|type,,,,code|is_active|locatable|locatable_id|locatable_type|name|organization_id|parent_id|type,,NO_MODEL_FOUND
suppliers,address|cnic|contact_no|contact_person|current_balance|email|incorporation_no|is_active|latitude|longitude|name|ntn|organization_id|partner_category_id|payment_terms_days|strn,app\Models\Partner/Supplier.php,address|cnic|contact_no|contact_person|current_balance|email|incorporation_no|is_active|latitude|longitude|name|ntn|organization_id|partner_category_id|payment_terms_days|strn,current_balance:decimal:4;is_active:boolean,,,
taxes,calculation_type|code|is_active|name|organization_id|rate,,,,calculation_type|code|is_active|name|organization_id|rate,,NO_MODEL_FOUND
taxs,,app\Models\Core/Tax.php,calculation_type|code|is_active|name|organization_id|rate,rate:decimal:4;is_active:boolean,,calculation_type|code|is_active|name|organization_id|rate,NO_MIGRATION_FOUND
